,attribute,score
0,problem,16
1,screw,10
2,seat,9
3,wrong,8
4,pay,8
5,complaint,7
6,space,7
7,miss,7
8,bit,7
9,waste,6
10,avoid,5
11,bother,5
12,loss,5
13,worst,5
14,broke,5
15,service,4
16,nut,4
17,difficulty,4
18,bolt,4
19,regret,4
20,find,3
21,quality,3
22,resistance,3
23,face,3
24,fix,3
25,refuse,3
26,noise,3
27,wait,3
28,base,3
29,belt,3
30,ignore,3
31,tighten,3
32,customer_service,3
33,worry,3
34,tension,3
35,mistake,3
36,anguish,3
37,goes,3
38,product,2
39,day,2
40,order,2
41,disappointment,2
42,time,2
43,useless,2
44,broken,2
45,company,2
46,complain,2
47,doubt,2
48,paddle,2
49,response,2
50,session,2
51,suffer,2
52,sore,2
53,period,2
54,approach,2
55,need,1
56,install,1
57,customer,1
58,strap,1
59,provide,1
60,recommend,1
61,experience,1
62,respond,1
63,customer_support,1
64,weight,1
65,height,1
66,finish,1
67,package,1
68,read,1
69,support_seat,1
70,amazon,1
71,dump,1
72,hour,1
73,week,1
74,stop_work,1
75,think,1
76,tool,1
77,increase,1
78,free,1
79,wish,1
80,resistance_knob,1
81,model,1
82,rs,1
83,hear,1
84,manufacturing,1
85,left,1
86,tilt,1
87,people,1
88,rod,1
89,dislike,1
90,meter_stop,1
91,coordinate,1
92,bring,1
93,explain,1
94,discomfort,1
95,schedule,1
96,service_provide,1
97,choose,1
98,submit,1
99,nut_bolt,1
100,duty,1
101,delicate,1
102,gap,1
103,connect,1
104,shake,1
105,experienced,1
106,movie,1
107,rigorous,1
108,density,1
109,pressure,1
110,agree,1
111,speed,1
112,struggle,1
113,rough,1
114,sense,1
115,man,1
116,image,1
117,mediocre,1
118,plane,1
119,bar,1
120,service_person,1
121,class_product,1
122,moderate,1
123,staff,1
124,rude,1
125,wet,1
126,misplace,1
127,medium,1
128,put_together,1
129,enquire,1
130,base_pipe,1
131,haunt,1
132,home_base,1
133,twitch,1
134,tension_adjustment,1
135,take_back,1
136,handle_screw,1
137,scope,1
138,trip,1
139,put_down,1
140,face_till,1
141,entertain,1
142,goodtook,1
143,judge,1
144,come_back,1
